timestamp,time_usec,lat,lon,alt,eph,epv,vel,cog,fix_type,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw
1683558326.8515549,1723226000,-353632621,1491652374,584380,121,200,0,27348,6,10,584380,300,300,40,0,0
1683558327.8527403,1724226000,-353632621,1491652374,584380,121,200,0,22997,6,10,584380,300,300,40,0,0
1683558328.8523705,1725226000,-353632621,1491652374,584380,121,200,0,115,6,10,584380,300,300,40,0,0
1683558329.8471777,1726226000,-353632621,1491652374,584380,121,200,0,9616,6,10,584380,300,300,40,0,0
1683558330.8482125,1727226000,-353632621,1491652374,584380,121,200,0,10707,6,10,584380,300,300,40,0,0
1683558331.8487647,1728226000,-353632621,1491652374,584380,121,200,0,6197,6,10,584380,300,300,40,0,0
1683558332.8483338,1729226000,-353632621,1491652374,584380,121,200,0,526,6,10,584380,300,300,40,0,0
1683558333.8487515,1730226000,-353632621,1491652374,584380,121,200,0,5440,6,10,584380,300,300,40,0,0
1683558334.8483675,1731226000,-353632621,1491652374,584380,121,200,0,11480,6,10,584380,300,300,40,0,0
1683558335.848772,1732226000,-353632621,1491652374,584380,121,200,0,111,6,10,584380,300,300,40,0,0
1683558336.848435,1733226000,-353632621,1491652374,584380,121,200,0,31704,6,10,584380,300,300,40,0,0
1683558337.8494492,1734226000,-353632621,1491652374,584380,121,200,0,17783,6,10,584380,300,300,40,0,0
1683558338.8463202,1735226000,-353632621,1491652374,584380,121,200,0,11280,6,10,584380,300,300,40,0,0
1683558339.8466527,1736226000,-353632621,1491652374,584380,121,200,0,3874,6,10,584380,300,300,40,0,0
1683558340.846236,1737226000,-353632621,1491652374,584380,121,200,0,29540,6,10,584380,300,300,40,0,0
1683558341.8475022,1738226000,-353632621,1491652374,584380,121,200,0,31499,6,10,584380,300,300,40,0,0
1683558342.847071,1739226000,-353632621,1491652374,584380,121,200,0,10984,6,10,584380,300,300,40,0,0
1683558343.847397,1740226000,-353632621,1491652374,584380,121,200,0,9522,6,10,584380,300,300,40,0,0
1683558344.847115,1741226000,-353632621,1491652374,584380,121,200,0,28171,6,10,584380,300,300,40,0,0
1683558345.842415,1742226000,-353632621,1491652374,584380,121,200,0,1712,6,10,584380,300,300,40,0,0
1683558346.8430455,1743226000,-353632621,1491652374,584380,121,200,0,35262,6,10,584380,300,300,40,0,0
1683558347.844174,1744226000,-353632621,1491652374,584380,121,200,0,26927,6,10,584380,300,300,40,0,0
1683558348.8430645,1745226000,-353632621,1491652374,584380,121,200,0,28503,6,10,584380,300,300,40,0,0
1683558349.8447802,1746226000,-353632621,1491652374,584380,121,200,0,17960,6,10,584380,300,300,40,0,0
1683558350.8444602,1747226000,-353632621,1491652374,584380,121,200,0,16484,6,10,584380,300,300,40,0,0
1683558351.8447719,1748226000,-353632621,1491652374,584380,121,200,0,32680,6,10,584380,300,300,40,0,0
1683558352.8443716,1749226000,-353632621,1491652374,584380,121,200,0,19351,6,10,584380,300,300,40,0,0
1683558353.8407252,1750226000,-353632621,1491652374,584380,121,200,0,24706,6,10,584380,300,300,40,0,0
1683558354.8408508,1751226000,-353632621,1491652374,584380,121,200,0,16878,6,10,584380,300,300,40,0,0
1683558355.8414302,1752226000,-353632621,1491652374,584380,121,200,0,27310,6,10,584380,300,300,40,0,0
1683558356.840916,1753226000,-353632621,1491652374,584380,121,200,0,18398,6,10,584380,300,300,40,0,0
1683558357.8414247,1754226000,-353632621,1491652374,584380,121,200,0,7232,6,10,584380,300,300,40,0,0
1683558358.8409863,1755226000,-353632621,1491652374,584380,121,200,0,30029,6,10,584380,300,300,40,0,0
1683558359.8422654,1756226000,-353632621,1491652374,584380,121,200,0,7610,6,10,584380,300,300,40,0,0
1683558360.8418763,1757226000,-353632621,1491652374,584380,121,200,0,24638,6,10,584380,300,300,40,0,0
1683558361.8364666,1758226000,-353632621,1491652374,584380,121,200,0,12929,6,10,584380,300,300,40,0,0
1683558362.8375993,1759226000,-353632621,1491652374,584380,121,200,0,32236,6,10,584380,300,300,40,0,0
1683558363.8378544,1760226000,-353632621,1491652374,584380,121,200,0,27325,6,10,584380,300,300,40,0,0
1683558364.837377,1761226000,-353632621,1491652374,584380,121,200,0,30311,6,10,584380,300,300,40,0,0
1683558365.8378818,1762226000,-353632621,1491652374,584380,121,200,0,5704,6,10,584380,300,300,40,0,0
1683558366.837666,1763226000,-353632621,1491652374,584380,121,200,0,19391,6,10,584380,300,300,40,0,0
1683558367.8394709,1764226000,-353632621,1491652374,584380,121,200,0,31710,6,10,584380,300,300,40,0,0
1683558368.8390756,1765226000,-353632621,1491652374,584380,121,200,0,31130,6,10,584380,300,300,40,0,0
1683558369.8354204,1766226000,-353632621,1491652374,584380,121,200,0,23711,6,10,584380,300,300,40,0,0
1683558370.836995,1767226000,-353632621,1491652374,584380,121,200,0,3056,6,10,584380,300,300,40,0,0
1683558371.837515,1768226000,-353632621,1491652374,584380,121,200,0,30637,6,10,584380,300,300,40,0,0
1683558372.837006,1769226000,-353632621,1491652374,584380,121,200,0,8398,6,10,584380,300,300,40,0,0
1683558373.8324335,1770226000,-353632621,1491652374,584380,121,200,0,20621,6,10,584380,300,300,40,0,0
1683558374.832091,1771226000,-353632621,1491652374,584380,121,200,0,422,6,10,584380,300,300,40,0,0
1683558375.833166,1772226000,-353632621,1491652374,584380,121,200,0,21110,6,10,584380,300,300,40,0,0
1683558376.8328762,1773226000,-353632621,1491652374,584380,121,200,0,34863,6,10,584380,300,300,40,0,0
1683558377.8349288,1774226000,-353632621,1491652374,584380,121,200,0,27287,6,10,584380,300,300,40,0,0
1683558378.835726,1775226000,-353632621,1491652374,584380,121,200,0,31679,6,10,584380,300,300,40,0,0
1683558379.8354352,1776226000,-353632621,1491652374,584380,121,200,0,17973,6,10,584380,300,300,40,0,0
1683558380.835092,1777226000,-353632621,1491652374,584380,121,200,0,34062,6,10,584380,300,300,40,0,0
1683558381.8298097,1778226000,-353632621,1491652374,584380,121,200,0,8361,6,10,584380,300,300,40,0,0
1683558382.8294477,1779226000,-353632621,1491652374,584380,121,200,0,19665,6,10,584380,300,300,40,0,0
1683558383.829903,1780226000,-353632621,1491652374,584380,121,200,0,13425,6,10,584380,300,300,40,0,0
1683558384.8294735,1781226000,-353632621,1491652374,584380,121,200,0,27339,6,10,584380,300,300,40,0,0
1683558385.830591,1782226000,-353632621,1491652374,584380,121,200,0,18424,6,10,584380,300,300,40,0,0
1683558386.8316774,1783226000,-353632621,1491652374,584380,121,200,0,29573,6,10,584380,300,300,40,0,0
1683558387.832858,1784226000,-353632621,1491652374,584380,121,200,0,2460,6,10,584380,300,300,40,0,0
1683558388.832394,1785226000,-353632621,1491652374,584380,121,200,0,2019,6,10,584380,300,300,40,0,0
1683558389.82784,1786226000,-353632621,1491652374,584380,121,200,0,15571,6,10,584380,300,300,40,0,0
1683558390.8278599,1787226000,-353632621,1491652374,584380,121,200,0,32803,6,10,584380,300,300,40,0,0
1683558391.8271937,1788226000,-353632621,1491652374,584380,121,200,0,5665,6,10,584380,300,300,40,0,0
1683558392.8268623,1789226000,-353632621,1491652374,584380,121,200,0,11322,6,10,584380,300,300,40,0,0
1683558393.8272283,1790226000,-353632621,1491652374,584380,121,200,0,34540,6,10,584380,300,300,40,0,0
1683558394.828556,1791226000,-353632621,1491652374,584380,121,200,0,2947,6,10,584380,300,300,40,0,0
1683558395.8302917,1792226000,-353632621,1491652374,584380,121,200,0,33707,6,10,584380,300,300,40,0,0
1683558396.829858,1793226000,-353632621,1491652374,584380,121,200,0,11878,6,10,584380,300,300,40,0,0
1683558397.826138,1794226000,-353632621,1491652374,584380,121,200,0,3116,6,10,584380,300,300,40,0,0
1683558398.8256645,1795226000,-353632621,1491652374,584380,121,200,0,7547,6,10,584380,300,300,40,0,0
1683558399.8259895,1796226000,-353632621,1491652374,584380,121,200,0,3716,6,10,584380,300,300,40,0,0
1683558400.82562,1797226000,-353632621,1491652374,584380,121,200,0,15305,6,10,584380,300,300,40,0,0
1683558401.8261127,1798226000,-353632621,1491652374,584380,121,200,0,17272,6,10,584380,300,300,40,0,0
1683558402.827802,1799226000,-353632621,1491652374,584380,121,200,0,16145,6,10,584380,300,300,40,0,0
1683558403.82315,1800226000,-353632621,1491652374,584380,121,200,0,26493,6,10,584380,300,300,40,0,0
1683558404.8228848,1801226000,-353632621,1491652374,584380,121,200,0,7248,6,10,584380,300,300,40,0,0
1683558405.823255,1802226000,-353632621,1491652374,584380,121,200,0,5424,6,10,584380,300,300,40,0,0
1683558406.8236377,1803226000,-353632621,1491652374,584380,121,200,0,1714,6,10,584380,300,300,40,0,0
1683558407.824742,1804226000,-353632621,1491652374,584380,121,200,0,7328,6,10,584380,300,300,40,0,0
1683558408.8244264,1805226000,-353632621,1491652374,584380,121,200,0,11641,6,10,584380,300,300,40,0,0
1683558409.8213618,1806226000,-353632621,1491652374,584380,121,200,0,18719,6,10,584380,300,300,40,0,0
1683558410.8218644,1807226000,-353632621,1491652374,584380,121,200,0,34070,6,10,584380,300,300,40,0,0
1683558411.8221905,1808226000,-353632621,1491652374,584380,121,200,0,29848,6,10,584380,300,300,40,0,0
1683558412.8219075,1809226000,-353632621,1491652374,584380,121,200,0,20857,6,10,584380,300,300,40,0,0
1683558413.8226485,1810226000,-353632621,1491652374,584380,121,200,0,4856,6,10,584380,300,300,40,0,0
1683558414.8224635,1811226000,-353632621,1491652374,584380,121,200,0,22876,6,10,584380,300,300,40,0,0
1683558415.8230057,1812226000,-353632621,1491652374,584380,121,200,0,21444,6,10,584380,300,300,40,0,0
1683558416.8225873,1813226000,-353632621,1491652374,584380,121,200,0,20233,6,10,584380,300,300,40,0,0
1683558417.8193548,1814226000,-353632621,1491652374,584380,121,200,0,21264,6,10,584380,300,300,40,0,0
1683558418.8197875,1815226000,-353632621,1491652374,584380,121,200,0,1737,6,10,584380,300,300,40,0,0
1683558419.819996,1816226000,-353632621,1491652374,584380,121,200,0,1465,6,10,584380,300,300,40,0,0
1683558420.818943,1817226000,-353632621,1491652374,584380,121,200,0,21666,6,10,584380,300,300,40,0,0
1683558421.8187919,1818226000,-353632621,1491652374,584380,121,200,0,20639,6,10,584380,300,300,40,0,0
1683558422.8181849,1819226000,-353632621,1491652374,584380,121,200,0,18008,6,10,584380,300,300,40,0,0
1683558423.8196092,1820226000,-353632621,1491652374,584380,121,200,0,17845,6,10,584380,300,300,40,0,0
1683558424.8192453,1821226000,-353632621,1491652374,584380,121,200,0,11121,6,10,584380,300,300,40,0,0
1683558425.8202157,1822226000,-353632621,1491652374,584380,121,200,0,28833,6,10,584380,300,300,40,0,0
1683558426.8198628,1823226000,-353632621,1491652374,584380,121,200,0,28516,6,10,584380,300,300,40,0,0
1683558427.814541,1824226000,-353632621,1491652374,584380,121,200,0,1946,6,10,584380,300,300,40,0,0
1683558428.8142443,1825226000,-353632621,1491652374,584380,121,200,0,24869,6,10,584380,300,300,40,0,0
1683558429.8151662,1826226000,-353632621,1491652374,584380,121,200,0,5691,6,10,584380,300,300,40,0,0
1683558430.814914,1827226000,-353632621,1491652374,584380,121,200,0,33955,6,10,584380,300,300,40,0,0
1683558431.8159316,1828226000,-353632621,1491652374,584380,121,200,0,22620,6,10,584380,300,300,40,0,0
1683558432.8156621,1829226000,-353632621,1491652374,584380,121,200,0,9992,6,10,584380,300,300,40,0,0
1683558433.8168178,1830226000,-353632621,1491652374,584380,121,200,0,28150,6,10,584380,300,300,40,0,0
