timestamp,custom_mode,type,autopilot,base_mode,system_status,mavlink_version
1683558337.8489442,0,1,3,81,3,3
1683558338.8456635,0,1,3,81,3,3
1683558339.8460727,0,1,3,81,3,3
1683558340.8457522,0,1,3,81,3,3
1683558341.846929,0,1,3,81,3,3
1683558342.846521,0,1,3,81,3,3
1683558343.8468378,0,1,3,81,3,3
1683558344.8464758,0,1,3,81,3,3
1683558345.8418407,0,1,3,81,3,3
1683558346.8425124,0,1,3,81,3,3
1683558347.8436708,0,1,3,81,3,3
1683558348.8424568,0,1,3,81,3,3
1683558349.8442333,0,1,3,81,3,3
1683558350.843956,0,1,3,81,3,3
1683558351.8442173,0,1,3,81,3,3
1683558352.8438196,0,1,3,81,3,3
1683558353.840171,0,1,3,81,3,3
1683558354.8403087,0,1,3,81,3,3
1683558355.8409436,0,1,3,81,3,3
1683558356.8403478,0,1,3,81,3,3
1683558357.8407917,0,1,3,81,3,3
1683558358.8404572,0,1,3,81,3,3
1683558359.8416212,0,1,3,81,3,3
1683558360.8412628,0,1,3,81,3,3
1683558361.8358884,0,1,3,81,3,3
1683558362.8370814,0,1,3,81,3,3
1683558363.8373573,0,1,3,81,3,3
1683558364.8368812,0,1,3,81,3,3
1683558365.8373086,0,1,3,81,3,3
1683558366.8370738,0,1,3,81,3,3
1683558367.8389077,0,1,3,81,3,3
1683558368.8385732,0,1,3,81,3,3
1683558369.834848,0,1,3,81,3,3
1683558370.8363957,0,1,3,81,3,3
1683558371.836974,0,1,3,81,3,3
1683558372.8365247,0,1,3,81,3,3
1683558373.8318813,0,1,3,81,3,3
1683558374.8315814,0,1,3,81,3,3
1683558375.8326154,0,1,3,81,3,3
1683558376.8322914,0,1,3,81,3,3
1683558377.8344245,0,1,3,81,3,3
1683558378.8352377,0,1,3,81,3,3
1683558379.8348908,0,1,3,81,3,3
1683558380.8345933,0,1,3,81,3,3
1683558381.829268,0,1,3,81,3,3
1683558382.8289034,0,1,3,81,3,3
1683558383.8293164,0,1,3,81,3,3
1683558384.8288996,0,1,3,81,3,3
1683558385.8300505,0,1,3,81,3,3
1683558386.831121,0,1,3,81,3,3
1683558387.8322399,0,1,3,81,3,3
1683558388.8318338,0,1,3,81,3,3
1683558389.8272889,0,1,3,81,3,3
1683558390.8273637,0,1,3,81,3,3
1683558391.8267121,0,1,3,81,3,3
1683558392.8263218,0,1,3,81,3,3
1683558393.8266258,0,1,3,81,3,3
1683558394.8280609,0,1,3,81,3,3
1683558395.8296819,0,1,3,81,3,3
1683558396.829226,0,1,3,81,3,3
1683558397.825545,0,1,3,81,3,3
1683558398.8251624,0,1,3,81,3,3
1683558399.8254144,0,1,3,81,3,3
1683558400.8250427,0,1,3,81,3,3
1683558401.8255675,0,1,3,81,3,3
1683558402.8272545,0,1,3,81,3,3
1683558403.8226035,0,1,3,81,3,3
1683558404.8223982,0,1,3,81,3,3
1683558405.822694,0,1,3,81,3,3
1683558406.8229632,0,1,3,81,3,3
1683558407.824187,0,1,3,81,3,3
1683558408.8238435,0,1,3,81,3,3
1683558409.8208103,0,1,3,81,3,3
1683558410.8213577,0,1,3,81,3,3
1683558411.8216937,0,1,3,81,3,3
1683558412.8213923,0,1,3,81,3,3
1683558413.822075,0,1,3,81,3,3
1683558414.8218305,0,1,3,81,3,3
1683558415.8224838,0,1,3,81,3,3
1683558416.8220353,0,1,3,81,3,3
1683558417.8187935,0,1,3,81,3,3
1683558418.8192852,0,1,3,81,3,3
1683558419.8194325,0,1,3,81,3,3
1683558420.8184562,0,1,3,81,3,3
1683558421.818135,0,1,3,81,3,3
1683558422.8177106,0,1,3,81,3,3
1683558423.8190103,0,1,3,81,3,3
1683558424.8186836,0,1,3,81,3,3
1683558425.8196576,0,1,3,81,3,3
1683558426.8193045,0,1,3,81,3,3
1683558427.81401,0,1,3,81,3,3
1683558428.8136845,0,1,3,81,3,3
1683558429.8146663,0,1,3,81,3,3
1683558430.814352,0,1,3,81,3,3
1683558431.815427,0,1,3,81,3,3
1683558432.8151047,0,1,3,81,3,3
1683558433.8162556,0,1,3,81,3,3
1683558434.8165002,0,1,3,81,3,3
1683558435.81129,0,1,3,81,3,3
1683558436.8109634,0,1,3,81,3,3
1683558437.8141134,0,1,3,81,3,3
1683558438.813803,0,1,3,81,3,3
1683558439.814247,0,1,3,81,3,3
1683558440.8138945,0,1,3,81,3,3
1683558441.8093054,0,1,3,81,3,3
1683558442.809725,0,1,3,81,3,3
1683558443.8113368,0,1,3,81,3,3
1683558444.8113112,0,1,3,81,3,3
1683558445.8115003,0,1,3,81,3,3
1683558446.811914,0,1,3,81,3,3
1683558447.8080192,0,1,3,81,3,3
1683558448.8068674,0,1,3,81,3,3
1683558449.807234,0,1,3,81,3,3
1683558450.8068485,0,1,3,81,3,3
1683558451.8095975,0,1,3,81,3,3
1683558452.8090563,0,1,3,81,3,3
1683558453.8051262,0,1,3,81,3,3
1683558454.8049612,0,1,3,81,3,3
1683558455.8058772,0,1,3,81,3,3
1683558456.80549,0,1,3,81,3,3
1683558457.8059819,0,1,3,81,3,3
1683558458.8057344,0,1,3,81,3,3
1683558459.8066385,0,1,3,81,3,3
1683558460.8061893,0,1,3,81,3,3
1683558461.8060887,0,1,3,81,3,3
1683558462.8055584,0,1,3,81,3,3
1683558463.8059893,0,1,3,81,3,3
1683558464.8057017,0,1,3,81,3,3
1683558465.8059847,0,1,3,81,3,3
1683558466.8056433,0,1,3,81,3,3
1683558467.8024955,0,1,3,81,3,3
1683558468.8022523,0,1,3,81,3,3
1683558469.8026266,0,1,3,81,3,3
1683558470.8022075,0,1,3,81,3,3
1683558471.8039932,0,1,3,81,3,3
1683558472.8036315,0,1,3,81,3,3
1683558473.8000557,0,1,3,81,3,3
1683558474.7995057,0,1,3,81,3,3
1683558475.8012888,0,1,3,81,3,3
1683558476.800948,0,1,3,81,3,3
1683558477.8019483,0,1,3,81,3,3
1683558478.8016527,0,1,3,81,3,3
1683558479.797816,0,1,3,81,3,3
1683558480.7975295,0,1,3,81,3,3
1683558481.797324,0,1,3,81,3,3
1683558482.796802,0,1,3,81,3,3
1683558483.7993312,0,1,3,81,3,3
1683558484.7990758,0,1,3,81,3,3
1683558485.799394,0,1,3,81,3,3
1683558486.7990406,0,1,3,81,3,3
1683558487.7938693,0,1,3,81,3,3
1683558488.7934878,0,1,3,81,3,3
1683558489.7942986,0,1,3,81,3,3
1683558490.7941446,0,1,3,81,3,3
1683558491.79523,0,1,3,81,3,3
1683558492.794939,0,1,3,81,3,3
1683558493.7954228,0,1,3,81,3,3
1683558494.7949545,0,1,3,81,3,3
1683558495.7953267,0,1,3,81,3,3
1683558496.7949343,0,1,3,81,3,3
1683558497.7954042,0,1,3,81,3,3
1683558498.7949314,0,1,3,81,3,3
1683558499.7925262,0,1,3,81,3,3
1683558500.7928753,0,1,3,81,3,3
1683558501.7940712,0,1,3,81,3,3
1683558502.7936418,0,1,3,81,3,3
1683558503.7891145,0,1,3,81,3,3
1683558504.7879097,0,1,3,81,3,3
1683558505.7885609,0,1,3,81,3,3
1683558506.788093,0,1,3,81,3,3
1683558507.790657,0,1,3,81,3,3
1683558508.7901084,0,1,3,81,3,3
1683558509.790549,0,1,3,81,3,3
1683558510.7903075,0,1,3,81,3,3
1683558511.785658,0,1,3,81,3,3
1683558512.7855427,0,1,3,81,3,3
1683558513.7857742,0,1,3,81,3,3
1683558514.7855768,0,1,3,81,3,3
1683558515.7867045,0,1,3,81,3,3
1683558516.7863975,0,1,3,81,3,3
1683558517.7866318,0,1,3,81,3,3
1683558518.7861903,0,1,3,81,3,3
1683558519.7867024,0,1,3,81,3,3
1683558520.786258,0,1,3,81,3,3
1683558521.787342,0,1,3,81,3,3
1683558522.787136,0,1,3,81,3,3
1683558523.7832117,0,1,3,81,3,3
1683558524.7828708,0,1,3,81,3,3
1683558525.7839801,0,1,3,81,3,3
